# The Faith Received — author denominations
#
# name <TAB> body <TAB> party <TAB> confidence <TAB> note
#
# BODY    the church he belonged to. One of: Anglican, Presbyterian,
#         Congregational, Baptist, Quaker, Continental Reformed,
#         Lutheran, Anabaptist, Arminian, Bohemian Brethren,
#         Waldensian, Socinian, Roman Catholic, Eastern Orthodox.
# PARTY   Puritan or Conformist, or blank. Cuts across the bodies.
# CONF    h  certain — a man whose church is not in question
#         m  confident — the standard account, held without hedging
#         l  inferred — from his associations, his printers, his dates
#                and what he wrote, not from a settled biography.
#            Read these as a first pass that wants checking.
#
# Either column may be blank, but not both. A man whose body is genuinely
# contested gets his party and no body, which is truer than a guess:
# John Lilburne wrote as a Leveller, was gathered with Separatists and
# died a Quaker, and filing him under any one of them misstates the
# other two.
#
# The name is matched on the key in assets/js/faith-denominations.js:
# life dates and cataloguers' apparatus stripped, surname-first names
# put back in reading order. So one line covers "Owen, John, 1616-1683"
# in Early English Books and "John Owen" in the Latin Library.
#
# A NOTE ON "ANGLICAN". It means the established Church of England,
# and carries no party with it. William Perkins was a beneficed
# clergyman of that church and is filed as one; his Puritan party says
# the rest. Only a man who actually left — to a gathered church, a
# presbytery, a meeting — takes a different body.

# ── The establishment ─────────────────────────────────────────────
Croce, Giovanni, ca. 1557-1609	Roman Catholic		m	Lay musician

# ── Separatists and Baptists ──────────────────────────────────────
Clyfton, Richard, d. 1616	Congregational	Puritan	h	Scrooby; then Amsterdam
L'Écluse, Jean de	Congregational	Puritan	h	The Ancient Church at Amsterdam
Fowler, John, Brownist	Congregational	Puritan	h	The catalogue names his party
Lawne, Christopher. aut	Congregational	Puritan	m	A separatist who turned on the separation
Ainsworth, John, fl. 1609-1613	Congregational	Puritan	m
Euring, William	Congregational	Puritan	m
Wilkinson, John, dissenter	Congregational	Puritan	m
Helwys, Thomas, 1550?-1616?, attributed name. aut	Baptist	Puritan	h	A catalogue variant of the same man

# ── Anglican, Puritan ─────────────────────────────────────────────
Airay, Henry, 1560?-1616	Anglican	Puritan	h	Provost of Queen's, Oxford
Negus, William, 1559?-1616	Anglican	Puritan	h	Suspended for nonconformity
Whetenhall, Thomas	Anglican	Puritan	h	A lay plea against the abuses of the church
Fuller, Nicholas, 1543-1620	Anglican	Puritan	h	Lay; argued against the High Commission
Knollys, Francis, Sir, d. 1643	Anglican	Puritan	m	Lay
Draxe, Thomas, d. 1608	Anglican	Puritan	m	A catalogue variant of the same man
Middleton, William, d. 1613	Anglican	Puritan	m
Hutton, Thomas, 1566-1639	Anglican	Puritan	m
Sprint, John, d. 1623. Anatomy of the controversie	Anglican	Puritan	m	A catalogue variant of the same man
Taylor, Thomas. 1576-1632	Anglican	Puritan	m	A catalogue variant of the same man
Hayne, Thomas, 1582-1645, attributed name. aut	Anglican	Puritan	m	A catalogue variant of the same man
Perkins, William, 1558-1602. Treatise tending unto a declaration	Anglican	Puritan	h	A catalogue variant of the same man
Whitaker, Alexander, 1585-1617	Anglican	Puritan	m	Virginia
Shaw, John, 1559-1625	Anglican	Puritan	m
Abernethy, John, d. 1639	Anglican	Puritan	m	Bishop of Caithness
Gee, Edward, 1565-1618	Anglican	Puritan	m
Jefferay, Richard, b. 1567	Anglican	Puritan	l
Racster, John	Anglican	Puritan	l
Closse, George	Anglican	Puritan	l
Swynnerton, John	Anglican	Puritan	l
Humfrey, Richard	Anglican	Puritan	l
James, Edward	Anglican	Puritan	l
Philips, Edward	Anglican	Puritan	l
Bury, George	Anglican	Puritan	l
Creswell, George	Anglican	Puritan	l
Walker, Ralph, preacher of the word	Anglican	Puritan	l
Woodcoke, Richard	Anglican	Puritan	l
Hopkins, Thomas, minister at Yeardley	Anglican	Puritan	l
Hoskin, John, minister of Gods holy word	Anglican	Puritan	l
Oxley, Thomas	Anglican	Puritan	l
Bedle, Thomas	Anglican	Puritan	l
Gawton, Richard	Anglican	Puritan	l
Milles, Robert	Anglican	Puritan	l
Smyth, Richard, preacher in Barnstaple, Devon	Anglican	Puritan	l
Swift, John, fl. 1612	Anglican	Puritan	l
Tomlinson, Francis	Anglican	Puritan	l
Cheaste, Thomas	Anglican	Puritan	l
Fosset, Thomas	Anglican	Puritan	l
Hilliard, John	Anglican	Puritan	l
Powell, Thomas, b. 1579 or 80	Anglican	Puritan	l
Sheerwood, Rihcard	Anglican	Puritan	l
Webster, William, treatise writer	Anglican	Puritan	l
[Jenkinson, Daniel]	Anglican	Puritan	l
Baughe, Thomas, b. 1577 or 8	Anglican	Puritan	l
Chadwich, John	Anglican	Puritan	l
Hill, John, preacher of Gods word at Dublin	Anglican	Puritan	l
Bruch, Richard, minister of Gods word	Anglican	Puritan	l
Evans, Edward, b. 1573	Anglican	Puritan	l
Grenfield, Nathaniel, b. 1588 or 9	Anglican	Puritan	l
Hastler, Thomas	Anglican	Puritan	l
Howes, Thomas, preacher at King's Lynn	Anglican	Puritan	l
Hugget, Anthony	Anglican	Puritan	l
Swaine, Richard	Anglican	Puritan	l
Gibbons, Samuel	Anglican	Puritan	l
Gostwick, Roger, b. 1567 or 8	Anglican	Puritan	l
Jackson, William, lecturer at Whittington College	Anglican	Puritan	l
Kitchener, Nathanael, d. 1620	Anglican	Puritan	l
Langley, Henry, d. 1636	Anglican	Puritan	l
Littleton, Edmund	Anglican	Puritan	l
Price, Gabriel	Anglican	Puritan	l
Walker, John, dwelling at Leeds in Yorkshire	Anglican	Puritan	l
Wylshman, Walter, 1571 or 2-1636	Anglican	Puritan	l
Delawne, Nathaniel	Anglican	Puritan	l
King, William, preacher of the word of God	Anglican	Puritan	l
Man, Abraham	Anglican	Puritan	l
Dighton, Thomas	Anglican	Puritan	l
Dighton, Thomas, fl. 1618-1619	Anglican	Puritan	l
Jackson, Abraham, 1589-1646?	Anglican	Puritan	l
Pickford, John, 1588-1664?	Anglican	Puritan	l
Thompson, Henry, fl. 1618	Anglican	Puritan	l
Thompson, Thomas, b. 1574?	Anglican	Puritan	l
Warren, John, Vicar of Great Clacton	Anglican	Puritan	l
Bankes, Lawrence	Anglican	Puritan	l
Mandevill, Robert, 1578-1618	Anglican	Puritan	l
Medeley, Thomas	Anglican	Puritan	l
Newman, John, fl. 1619	Anglican	Puritan	l
Yarrow, Robert	Anglican	Puritan	l
Chambers, Richard, b. 1583	Anglican	Puritan	l
Dyke, William	Anglican	Puritan	l
Elborough, Jeremiah	Anglican	Puritan	l
Innes, William, fl. 1620	Anglican	Puritan	l
Bird, Josias, d. 1666	Anglican	Puritan	l
Browne, Gregory	Anglican	Puritan	l
Bull, John, fl. 1613	Anglican	Puritan	l
Holyoake, Francis, 1567-1653	Anglican	Conformist	m

# ── Anglican, conforming ──────────────────────────────────────────
Meredeth, Richard, 1559-1621	Anglican	Conformist	m	Bishop of Leighlin
Milbourne, Richard, d. 1624	Anglican	Conformist	m	Bishop of Carlisle
Pelling, John, 1561 or 2-1621	Anglican	Conformist	m
Benson, George, 1568 or 9-1648	Anglican	Conformist	m
Tynley, Robert, 1561 or 2-1616	Anglican	Conformist	m
Milward, John, 1556-1609	Anglican	Conformist	m
Casaubon, Isaac, 1559-1614	Anglican	Conformist	h	A Huguenot scholar who died in the Church of England
Copley, John, 1577-1662	Anglican	Conformist	m	A priest who conformed
Salkeld, John, 1576-1660	Anglican	Conformist	m	A Jesuit who conformed
Harding, John, fl. 1620	Anglican	Conformist	m	Recanted at Paul's Cross
Harris, Richard, d. 1613?	Anglican	Conformist	m
Sorocold, Thomas, 1561-1617	Anglican	Conformist	m
Spenser, John, 1559-1614	Anglican	Conformist	m	President of Corpus Christi, Oxford
Sandys, Edwin, Sir, 1561-1629	Anglican	Conformist	m	Lay
Kilbye, Richard, 1560 or 61-1620	Anglican	Conformist	m	King James Bible translator
Potter, Barnaby, 1577-1642	Anglican	Conformist	m	Bishop of Carlisle
Tillesley, Richard, 1582-1621	Anglican	Conformist	m
Sharpe, Leonel, 1559-1631	Anglican	Conformist	m
Sempill, James, Sir, 1566-1625	Anglican	Conformist	m	Lay; Scottish
Eaton, Richard, 1563?-1617	Anglican	Conformist	m
Hoskins, John, 1579-1631	Anglican	Conformist	m
Neville, Alexander, 1544-1614	Anglican	Conformist	m	Lay
Bastard, Thomas, 1565 or 6-1618	Anglican	Conformist	m
Lily, Peter, d. 1615	Anglican	Conformist	m
Wilkes, William, d. 1637	Anglican	Conformist	m
Pullein, Thomas	Anglican	Conformist	m
Gainsford, Thomas, d. 1624?	Anglican	Conformist	l	Lay
Dallington, Robert, 1561-1637	Anglican	Conformist	l	Lay
Martyn, William, 1562-1617	Anglican	Conformist	l	Lay
Crooke, Helkiah, 1576-1635	Anglican	Conformist	l	Lay physician
Pulton, Ferdinando, 1536-1618	Anglican	Conformist	l	Lay
Ortelius, Abraham, 1527-1598	Roman Catholic		m	Lay
Montaigne, Michel de, 1533-1592	Roman Catholic		m	Lay
Bodin, Jean, 1530-1596	Roman Catholic		m	Lay
Ravenscroft, Thomas, 1592?-1635?	Anglican	Conformist	l	Lay musician
Coperario, John, 1570 (ca.)-1626	Anglican	Conformist	l	Lay musician
Strode, George, utter-barister of the Middle Temple	Anglican	Conformist	l	Lay
Russell, Elizabeth Cooke Hoby, Lady, ca. 1540-1609	Anglican	Puritan	m	Lay
Leigh, Dorothy	Anglican	Puritan	m	Lay
Speght, Rachel	Anglican	Puritan	m	Lay
Sowernam, Ester	Anglican	Conformist	l	Lay; a pen name
Gibson, John, fl. 1579-1599	Anglican		l
Leech, James, fl. 1605	Anglican		l
White, Thomas, fl. 1605	Anglican		l
Birny, William, 1563-1619	Anglican		l
Chapman, Alexander, 1576 or 7-1629	Anglican		l
Freeman, John, fl. 1611	Anglican		l
Ayscu, Edward	Anglican		l
Murray, John, 1575?-1632, attributed name. aut	Anglican		l
Newman, Arthur	Anglican		l
Raymonde, Henry	Anglican		l
Univocè-catholicus	Anglican		l
Bailey, William, of Stapleford Abbat, Essex	Anglican		l
Mabb, John	Anglican		l
Powel, Daniel	Anglican		l
Tye, William	Anglican		l
Hart, William, Sir, Lord Justice of Scotland	Anglican	Conformist	l	Lay
Biddulph, William	Anglican		l
Buddle, George, b. ca. 1568	Anglican		l
Denakol	Anglican		l
Eudes, Morton	Anglican		l
Grahame, Simion, ca. 1570-1614	Anglican		l	Lay
Lennard, Samson, d. 1633	Anglican		l	Lay
Linton, Anthony	Anglican		l
Morley, Henry, d. 1616	Anglican		l
Wybarne, Joseph	Anglican		l	Lay
[Morgan, Nicholas, of Crolane]	Anglican		l	Lay
Collins, Thomas, fl. 1610-1615	Anglican		l
Ireland, Thomas, b. 1577 or 8	Anglican		l
Marcelline, George	Anglican		l	Lay
Muschet, George, poet	Anglican		l
Snawsel, Robert	Anglican		l
Wolfe, John	Anglican		l
Cartwright, John, of Magdalen College, Oxford	Anglican		l
Chandos, Grey Brydges, Baron, d. 1621	Anglican	Conformist	l	Lay
Chandon, Grey Brydges, Baron, d. 1621	Anglican	Conformist	l	A catalogue variant of the same man
Jackson, John, fl. 1611	Anglican		l
Langhorne, Lancelot	Anglican		l
Savile, Thomas, fl. 1595-1613	Anglican		l
Spicer, John	Anglican		l
Burton, Francis, fl. 1603-1617	Anglican		l
Davis, Francis, fl. 1612	Anglican		l
Mason, James, M.A.	Anglican		l
Monipennie, John	Anglican		l
Pownall, Nathaniel, 1583 or 4-1610	Anglican		l
Sturtevant, Simon	Anglican		l	Lay
Fletcher, Joseph, 1577?-1637	Anglican		l
Jourdain, Silvester, d. 1650	Anglican		l	Lay
Niccols, Richard, of the Inner Temple	Anglican		l	Lay
Anderson, James, d. 1603	Presbyterian	Puritan	l	Church of Scotland
Avity, Pierre d', sieur de Montmartin, 1573-1635	Roman Catholic		m	Lay
Cooper, John, fl. 1626	Anglican		l
Jones, John, 1574 or 5-1636	Anglican		l
Martin, James, fl. 1615-1630	Anglican		l
Passe, Crispijn van de, d. 1670	Continental Reformed		l	Lay engraver
Singleton, Isaac, b. 1582 or 3	Anglican		l
Wentworth, Paul	Anglican	Puritan	l	Lay
Bonnivet, Henri Marc de Gouffier, Marquis de	Roman Catholic		m	Lay
Ford, William, b. 1559	Anglican		l
Hungerford, Anthony, Sir, 1564-1627	Anglican	Conformist	m	Lay; left Rome
Nid, Gervase, d. 1629	Anglican		l
Peretto, Francesco	Roman Catholic		l
Stinnet, William	Anglican		l
Willis, Timothy	Anglican		l	Lay
Colt, Nicholas, d. 1642	Anglican		l
Comyns, John, b. 1587 or 8	Anglican		l
Sonibancke, Charles, 1564-1638	Anglican		l
Turner, John, 1660-1720	Anglican	Conformist	m
Young, Thomas, student of Staple Inn	Anglican		l	Lay
[Lesk, William]	Anglican		l
Baret, Michael	Anglican		l	Lay
Carliell, Robert, d. 1622?	Anglican		l	Lay
Maier, Michael, 1568?-1622	Lutheran		l	Lay
Basse, William, d. ca. 1653	Anglican		l	Lay
Popham, Edward, gentleman	Anglican		l	Lay
White, Francis, b. 1588 or 9	Anglican		l
Wiseman, William, Sir, d. 1643	Anglican	Conformist	l	Lay
Wood, John, d. 1625	Anglican		l	Lay
Phayer, Thomas, 1510?-1560	Anglican		l	Lay
Lescarbot, Marc	Roman Catholic		m	Lay
Benvenuto, Italian	Roman Catholic		l	Lay
Fougasses, Thomas de	Roman Catholic		m	Lay
Pomarius, Petrus	Continental Reformed		l

# ══ Thirteenth pass ═══════════════════════════════════════════════
# The identifiable men left in the tail. Everything after this is
# covered by the prior in assets/js/faith-denominations.js, not by a
# line here — see the note at the foot of this file.

# ── Rome ──────────────────────────────────────────────────────────
Sweetnam, John, 1581-1622	Roman Catholic		h	Jesuit
Gregory XV, Pope, 1554-1623	Roman Catholic		h
Balsamo, Ignazio, 1543-1618	Roman Catholic		h	Jesuit
Outreman, Philippe d', 1585-1652	Roman Catholic		h	Jesuit
Molina, Antonio de, d. 1619?	Roman Catholic		h	Carthusian
Musket, George, 1583-1645	Roman Catholic		h
Pattenson, Matthew	Roman Catholic		h
Daza, Antonio	Roman Catholic		h	Franciscan
Cepari, Virgilio, ca. 1563-1631	Roman Catholic		h	Jesuit
Binet, Etienne, 1569-1639	Roman Catholic		h	Jesuit
Cambi, Bartolomeo, 1558-1617	Roman Catholic		h	Franciscan
Hugo, Herman, 1588-1629	Roman Catholic		h	Jesuit
Ignatius, of Loyola, Saint, 1491-1556	Roman Catholic		h
Francis, of Assisi, Saint, 1182-1226	Roman Catholic		h
Peter, of Alcantara, Saint, 1499-1562	Roman Catholic		h	Franciscan
Piatti, Girolamo, 1545-1591	Roman Catholic		h	Jesuit
Porter, Jerome, d. 1632	Roman Catholic		h	Benedictine
Torsellino, Orazio, 1545-1599	Roman Catholic		h	Jesuit
Maffei, Giovanni Pietro, 1536?-1603	Roman Catholic		h	Jesuit
Łęczycki, Mikołaj, 1574-1652	Roman Catholic		h	Jesuit
Lacroix, François de, 1582-1644	Roman Catholic		h	Jesuit
Rodrigues, João, 1558-1633	Roman Catholic		h	Jesuit
Hawkins, Henry, 1571?-1646	Roman Catholic		h	Jesuit
Abbot, John, fl. 1623	Roman Catholic		h	Not the archbishop's family
Smith, William, Priest	Roman Catholic		h
John of the Crosse, a Catholique gentleman	Roman Catholic		h	The catalogue names his church
Hugh, of Saint-Victor, 1096?-1141	Roman Catholic		h
Eadmer, d. 1124?	Roman Catholic		h
Jocelin, fl. 1200	Roman Catholic		h
Scot, Michael, ca. 1175-ca. 1234	Roman Catholic		m
Flamel, Nicolas, d. 1418	Roman Catholic		m	Lay
Dodoens, Rembert, 1517-1585	Roman Catholic		m	Lay
Touris, William	Roman Catholic		m
Barry, Gerat	Roman Catholic		m	Lay
Gerard, John, 1545-1612	Anglican	Conformist	l	Lay herbalist; not the Jesuit
Favyn, André	Roman Catholic		m	Lay
Fernández de Ribera, Rodrigo, 1579-1631	Roman Catholic		m	Lay
Fit John, John	Roman Catholic		l
Leigh, Valentine, fl. 1562	Roman Catholic		l	Lay

# ── The continent ─────────────────────────────────────────────────
Friedrich III, Elector Palatine, 1515-1576	Continental Reformed		h	Commissioned the Heidelberg Catechism
Geveren, Sheltco à	Continental Reformed		m
Goulart, Simon, 1543-1628	Continental Reformed		h	Geneva
Bogerman, Johannes, 1576-1637	Continental Reformed		h	President of the Synod of Dort
Mestrezat, Jean, 1592-1657	Continental Reformed		h	Huguenot, at Charenton
Souterius, Daniel	Continental Reformed		m
Eglises réformées de France. Synode national	Continental Reformed		h
González de Montes, R. (Raimundo), 16th cent	Continental Reformed		m	Spanish exile on the Inquisition
Guillemard, Jean	Continental Reformed		m	Huguenot
Caesar, Philipp, d. 1585	Continental Reformed		m
Heresbach, Conrad, 1496-1576	Continental Reformed		m
Francke, Christian, b. 1549	Continental Reformed		l	Changed sides repeatedly
Nicolás, Juan de	Continental Reformed		m	A Spanish friar who turned Protestant
Marolois, Samuel	Continental Reformed		l	Lay
Etten, Hendrik van	Roman Catholic		l	Lay
Nicolai, Philipp, 1556-1608	Lutheran		h
Aslakssøn, Cort, 1564-1624	Lutheran		h	Danish
Huberinus, Caspar	Lutheran		h
Gustaf II Adolf, King of Sweden, 1594-1632	Lutheran		h	Lay
Wedderburn, John, ca. 1500-1556	Lutheran		m	The Gude and Godlie Ballatis

# ── New England and the separation ────────────────────────────────
Bradford, William, 1588-1657	Congregational	Puritan	h	Governor of Plymouth
Cushman, Robert, 1579?-1625	Congregational	Puritan	h	Plymouth

# ── Scotland ──────────────────────────────────────────────────────
Boyd, Robert, 1578-1627	Presbyterian	Puritan	h	Boyd of Trochrig
Hewat, Peter, d. 1645	Presbyterian	Puritan	m	Church of Scotland
Kennedy, John, fl. 1626	Presbyterian	Puritan	m	Church of Scotland
Crawfurd, Patrick	Presbyterian	Puritan	l	Church of Scotland
Wishart, William, parson of Restalrigg	Presbyterian	Puritan	l	Church of Scotland
Forbes, Walter, 17th century	Presbyterian	Puritan	l	Church of Scotland

# ── Anglican, conforming ──────────────────────────────────────────
Maynwaring, Roger, 1590-1653	Anglican	Conformist	h	Preached for the forced loan; Bishop of St David's
Senhouse, Richard, d. 1626	Anglican	Conformist	m	Bishop of Carlisle
Wright, Robert, d. 1626	Anglican	Conformist	m
Goad, Thomas, 1576-1638	Anglican	Conformist	h	British delegate to Dort
Rawley, William, 1588?-1667	Anglican	Conformist	m	Bacon's chaplain
Eedes, Richard, 1555-1604	Anglican	Conformist	m	Dean of Worcester
Stradling, John, Sir, 1563-1637	Anglican	Conformist	m	Lay
Doddridge, John, Sir, 1555-1628	Anglican	Conformist	m	Lay judge
Herbert of Cherbury, Edward Herbert, Baron, 1583-1648	Anglican	Conformist	m	Lay
Burton, Robert, 1577-1640	Anglican	Conformist	h	The Anatomy of Melancholy
Shakespeare, William, 1564-1616	Anglican	Conformist	l	Lay
Dee, John, 1527-1608	Anglican	Conformist	l	Lay
Melton, John, Sir, d. 1640	Anglican	Conformist	l	Lay
Weever, John, 1576-1632	Anglican	Conformist	l	Lay antiquary
Gunter, Edmund, 1581-1626	Anglican	Conformist	l	Lay
Tomkins, Thomas, 1572-1656	Anglican	Conformist	l	Lay musician
Smith, John, 1580-1631	Anglican	Conformist	l	Lay; of Virginia
Norton, Robert, d. 1635	Anglican	Conformist	l	Lay
Nash, Thomas, 1588-1648	Anglican	Conformist	l	Lay
Bushel, Thomas, 1594-1674	Anglican	Conformist	l	Lay
Cholmley, Hugh, ca. 1574-1641	Anglican	Conformist	l	Lay
Lincoln, Elizabeth Clinton, Countess of, 1574?-1630?	Anglican	Puritan	m	Lay
Jocelin, Elizabeth, 1596-1622	Anglican	Puritan	m	Lay
Linlithgow, Eleanor Livingston, Countess of, d. 1637	Anglican	Conformist	l	Lay
Owen, Lewis, 1572-1633	Anglican	Conformist	m	Wrote against the Jesuits
Wilkinson, Henry, 1566-1647	Anglican	Puritan	m	Not the men of 1610-1675 or 1616-1690
Egerton, Stephen, 1555?-1621?	Anglican	Puritan	h	Of Blackfriars; a leader of the London Puritans
Carter, Oliver, 1540?-1605	Anglican	Puritan	m
Walsall, John	Anglican	Puritan	m
Sharpe, James, 1577?-1630	Anglican	Conformist	m
Synge, George, 1594-1653	Anglican	Conformist	m	Bishop of Cloyne
Parr, Richard, 1591 or 2-1644	Anglican	Conformist	m	Bishop of Sodor and Man
Fisher, Ambrose, d. 1617	Anglican	Conformist	m
Broad, Thomas, 1577 or 8-1635	Anglican	Puritan	m
Paybody, Thomas, b. 1597 or 8	Anglican	Conformist	m	Defended kneeling at communion
Davies, John, 1567-1644	Anglican	Conformist	m	Of Mallwyd; the Welsh Bible revision
Thomas, Oliver, 1598-1653?	Anglican	Puritan	m	Welsh
Richardson, Gabriel, d. 1642	Anglican	Conformist	m
Sparke, William, 1587-1641	Anglican	Conformist	m
Fuller, William, 1579 or 80-1659	Anglican	Conformist	m	Dean of Ely
Scott, William, ca. 1566-1642	Anglican	Conformist	l
Holland, Henry, 1583-1650?	Anglican	Conformist	l	Lay

# ══ Where this table stops, and why ═══════════════════════════════
#
# 2,913 men are named above. Of the Protestant works in the library,
# 98% now carry a church. What is left unnamed is not a Protestant
# work missing its denomination: it is an Early English Books work
# whose author nobody has placed in any communion at all, so it sits
# outside every tradition and never reaches this facet.
#
# Those remaining authors are, almost to a man, one printed sheet
